name	rating	review_count	city	category	postal_code	latitude	longitude
California Gogi Korean Grill	4.5	172	Los Angeles	['Asian Fusion', 'asianfusion', 'Cafes', 'cafes', 'Breakfast & Brunch', 'breakfast_brunch', 'Delis', 'delis', 'Sandwiches', 'sandwiches', 'Bakeries', 'bakeries', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Asian Fusion', 'asianfusion', 'Pubs', 'pubs', 'Gastropubs', 'gastropubs', 'Burgers', 'burgers', 'Mexican', 'mexican', 'Australian', 'australian', 'Bakeries', 'bakeries', 'Coffee & Tea', 'coffee', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Seafood', 'seafood', 'Hot Dogs', 'hotdog', 'Mexican', 'mexican', 'Pizza', 'pizza', 'Halal', 'halal', 'Barbeque', 'bbq', 'Breakfast & Brunch', 'breakfast_brunch', 'Korean', 'korean', 'Asian Fusion', 'asianfusion']	90007	34.017343	-118.2828057
Tacos Baja Ensenada	4.5	665	Los Angeles	['Asian Fusion', 'asianfusion', 'Cafes', 'cafes', 'Breakfast & Brunch', 'breakfast_brunch', 'Delis', 'delis', 'Sandwiches', 'sandwiches', 'Bakeries', 'bakeries', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Asian Fusion', 'asianfusion', 'Pubs', 'pubs', 'Gastropubs', 'gastropubs', 'Burgers', 'burgers', 'Mexican', 'mexican', 'Australian', 'australian', 'Bakeries', 'bakeries', 'Coffee & Tea', 'coffee', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Seafood', 'seafood', 'Hot Dogs', 'hotdog', 'Mexican', 'mexican', 'Pizza', 'pizza', 'Halal', 'halal', 'Barbeque', 'bbq', 'Breakfast & Brunch', 'breakfast_brunch', 'Korean', 'korean', 'Asian Fusion', 'asianfusion', 'Mexican', 'mexican']	90022	34.020057	-118.154411
Little Jewel of New Orleans	4.5	332	Los Angeles	['Asian Fusion', 'asianfusion', 'Cafes', 'cafes', 'Breakfast & Brunch', 'breakfast_brunch', 'Delis', 'delis', 'Sandwiches', 'sandwiches', 'Bakeries', 'bakeries', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Asian Fusion', 'asianfusion', 'Pubs', 'pubs', 'Gastropubs', 'gastropubs', 'Burgers', 'burgers', 'Mexican', 'mexican', 'Australian', 'australian', 'Bakeries', 'bakeries', 'Coffee & Tea', 'coffee', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Seafood', 'seafood', 'Hot Dogs', 'hotdog', 'Mexican', 'mexican', 'Pizza', 'pizza', 'Halal', 'halal', 'Barbeque', 'bbq', 'Breakfast & Brunch', 'breakfast_brunch', 'Korean', 'korean', 'Asian Fusion', 'asianfusion', 'Mexican', 'mexican', 'Delis', 'delis', 'Grocery', 'grocery']	90012	34.060099	-118.238083
Figueroa Philly Cheese Steak	4.5	400	Los Angeles	['Asian Fusion', 'asianfusion', 'Cafes', 'cafes', 'Breakfast & Brunch', 'breakfast_brunch', 'Delis', 'delis', 'Sandwiches', 'sandwiches', 'Bakeries', 'bakeries', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Asian Fusion', 'asianfusion', 'Pubs', 'pubs', 'Gastropubs', 'gastropubs', 'Burgers', 'burgers', 'Mexican', 'mexican', 'Australian', 'australian', 'Bakeries', 'bakeries', 'Coffee & Tea', 'coffee', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Seafood', 'seafood', 'Hot Dogs', 'hotdog', 'Mexican', 'mexican', 'Pizza', 'pizza', 'Halal', 'halal', 'Barbeque', 'bbq', 'Breakfast & Brunch', 'breakfast_brunch', 'Korean', 'korean', 'Asian Fusion', 'asianfusion', 'Mexican', 'mexican', 'Delis', 'delis', 'Grocery', 'grocery', 'Cheesesteaks', 'cheesesteaks', 'Sandwiches', 'sandwiches']	90037	34.0141983	-118.2823486
The Hungry Pig	4.5	263	Los Angeles	['Asian Fusion', 'asianfusion', 'Cafes', 'cafes', 'Breakfast & Brunch', 'breakfast_brunch', 'Delis', 'delis', 'Sandwiches', 'sandwiches', 'Bakeries', 'bakeries', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Asian Fusion', 'asianfusion', 'Pubs', 'pubs', 'Gastropubs', 'gastropubs', 'Burgers', 'burgers', 'Mexican', 'mexican', 'Australian', 'australian', 'Bakeries', 'bakeries', 'Coffee & Tea', 'coffee', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Seafood', 'seafood', 'Hot Dogs', 'hotdog', 'Mexican', 'mexican', 'Pizza', 'pizza', 'Halal', 'halal', 'Barbeque', 'bbq', 'Breakfast & Brunch', 'breakfast_brunch', 'Korean', 'korean', 'Asian Fusion', 'asianfusion', 'Mexican', 'mexican', 'Delis', 'delis', 'Grocery', 'grocery', 'Cheesesteaks', 'cheesesteaks', 'Sandwiches', 'sandwiches', 'Barbeque', 'bbq']	90026	34.074141	-118.279353
The Black Fig	4.5	48	Los Angeles	['Asian Fusion', 'asianfusion', 'Cafes', 'cafes', 'Breakfast & Brunch', 'breakfast_brunch', 'Delis', 'delis', 'Sandwiches', 'sandwiches', 'Bakeries', 'bakeries', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Asian Fusion', 'asianfusion', 'Pubs', 'pubs', 'Gastropubs', 'gastropubs', 'Burgers', 'burgers', 'Mexican', 'mexican', 'Australian', 'australian', 'Bakeries', 'bakeries', 'Coffee & Tea', 'coffee', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Seafood', 'seafood', 'Hot Dogs', 'hotdog', 'Mexican', 'mexican', 'Pizza', 'pizza', 'Halal', 'halal', 'Barbeque', 'bbq', 'Breakfast & Brunch', 'breakfast_brunch', 'Korean', 'korean', 'Asian Fusion', 'asianfusion', 'Mexican', 'mexican', 'Delis', 'delis', 'Grocery', 'grocery', 'Cheesesteaks', 'cheesesteaks', 'Sandwiches', 'sandwiches', 'Barbeque', 'bbq', 'Cafes', 'cafes']	90013	34.043855	-118.23289
Belly & Snout	4.5	77	Los Angeles	['Asian Fusion', 'asianfusion', 'Cafes', 'cafes', 'Breakfast & Brunch', 'breakfast_brunch', 'Delis', 'delis', 'Sandwiches', 'sandwiches', 'Bakeries', 'bakeries', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Asian Fusion', 'asianfusion', 'Pubs', 'pubs', 'Gastropubs', 'gastropubs', 'Burgers', 'burgers', 'Mexican', 'mexican', 'Australian', 'australian', 'Bakeries', 'bakeries', 'Coffee & Tea', 'coffee', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Seafood', 'seafood', 'Hot Dogs', 'hotdog', 'Mexican', 'mexican', 'Pizza', 'pizza', 'Halal', 'halal', 'Barbeque', 'bbq', 'Breakfast & Brunch', 'breakfast_brunch', 'Korean', 'korean', 'Asian Fusion', 'asianfusion', 'Mexican', 'mexican', 'Delis', 'delis', 'Grocery', 'grocery', 'Cheesesteaks', 'cheesesteaks', 'Sandwiches', 'sandwiches', 'Barbeque', 'bbq', 'Cafes', 'cafes', 'American (New)', 'newamerican', 'Filipino', 'filipino']	90006	34.0534458244	-118.30891706
Andrea Salumeria	5.0	115	Jersey City	['Asian Fusion', 'asianfusion', 'Cafes', 'cafes', 'Breakfast & Brunch', 'breakfast_brunch', 'Delis', 'delis', 'Sandwiches', 'sandwiches', 'Bakeries', 'bakeries', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Asian Fusion', 'asianfusion', 'Pubs', 'pubs', 'Gastropubs', 'gastropubs', 'Burgers', 'burgers', 'Mexican', 'mexican', 'Australian', 'australian', 'Bakeries', 'bakeries', 'Coffee & Tea', 'coffee', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Seafood', 'seafood', 'Hot Dogs', 'hotdog', 'Mexican', 'mexican', 'Pizza', 'pizza', 'Halal', 'halal', 'Barbeque', 'bbq', 'Breakfast & Brunch', 'breakfast_brunch', 'Korean', 'korean', 'Asian Fusion', 'asianfusion', 'Mexican', 'mexican', 'Delis', 'delis', 'Grocery', 'grocery', 'Cheesesteaks', 'cheesesteaks', 'Sandwiches', 'sandwiches', 'Barbeque', 'bbq', 'Cafes', 'cafes', 'American (New)', 'newamerican', 'Filipino', 'filipino', 'Delis', 'delis']	07307	40.7435417	-74.0513916
Los Tacos No.1	4.5	545	New York	['Asian Fusion', 'asianfusion', 'Cafes', 'cafes', 'Breakfast & Brunch', 'breakfast_brunch', 'Delis', 'delis', 'Sandwiches', 'sandwiches', 'Bakeries', 'bakeries', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Asian Fusion', 'asianfusion', 'Pubs', 'pubs', 'Gastropubs', 'gastropubs', 'Burgers', 'burgers', 'Mexican', 'mexican', 'Australian', 'australian', 'Bakeries', 'bakeries', 'Coffee & Tea', 'coffee', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Seafood', 'seafood', 'Hot Dogs', 'hotdog', 'Mexican', 'mexican', 'Pizza', 'pizza', 'Halal', 'halal', 'Barbeque', 'bbq', 'Breakfast & Brunch', 'breakfast_brunch', 'Korean', 'korean', 'Asian Fusion', 'asianfusion', 'Mexican', 'mexican', 'Delis', 'delis', 'Grocery', 'grocery', 'Cheesesteaks', 'cheesesteaks', 'Sandwiches', 'sandwiches', 'Barbeque', 'bbq', 'Cafes', 'cafes', 'American (New)', 'newamerican', 'Filipino', 'filipino', 'Delis', 'delis', 'Mexican', 'mexican']	10011	40.742455	-74.005956
Prosperity Dumpling	4.5	2488	New York	['Asian Fusion', 'asianfusion', 'Cafes', 'cafes', 'Breakfast & Brunch', 'breakfast_brunch', 'Delis', 'delis', 'Sandwiches', 'sandwiches', 'Bakeries', 'bakeries', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Asian Fusion', 'asianfusion', 'Pubs', 'pubs', 'Gastropubs', 'gastropubs', 'Burgers', 'burgers', 'Mexican', 'mexican', 'Australian', 'australian', 'Bakeries', 'bakeries', 'Coffee & Tea', 'coffee', 'Food Stands', 'foodstands', 'Mexican', 'mexican', 'Seafood', 'seafood', 'Hot Dogs', 'hotdog', 'Mexican', 'mexican', 'Pizza', 'pizza', 'Halal', 'halal', 'Barbeque', 'bbq', 'Breakfast & Brunch', 'breakfast_brunch', 'Korean', 'korean', 'Asian Fusion', 'asianfusion', 'Mexican', 'mexican', 'Delis', 'delis', 'Grocery', 'grocery', 'Cheesesteaks', 'cheesesteaks', 'Sandwiches', 'sandwiches', 'Barbeque', 'bbq', 'Cafes', 'cafes', 'American (New)', 'newamerican', 'Filipino', 'filipino', 'Delis', 'delis', 'Mexican', 'mexican', 'Chinese', 'chinese']	10002	40.715903	-73.992996
